Date,Open,High,Low,Close,Adj Close,Volume
2019-11-13,52500.0,52500.0,52000.0,52300.0,52300.0,1934638
2019-11-13,52200.0,52300.0,52100.0,52200.0,52200.0,380674
2019-11-13,52200.0,52300.0,52100.0,52300.0,52300.0,744063
2019-11-13,52300.0,52300.0,52200.0,52200.0,52200.0,187923
2019-11-13,52200.0,52300.0,52200.0,52200.0,52200.0,310763
2019-11-13,52200.0,52400.0,52200.0,52300.0,52300.0,887525
2019-11-14,51900.0,52400.0,51900.0,52300.0,52300.0,2145399
2019-11-14,52200.0,52300.0,52100.0,52200.0,52200.0,1133779
2019-11-14,52100.0,52400.0,52100.0,52200.0,52200.0,683466
2019-11-14,52200.0,52500.0,52200.0,52400.0,52400.0,633142
2019-11-14,52400.0,52500.0,52300.0,52400.0,52400.0,594236
2019-11-14,52500.0,52500.0,52200.0,52300.0,52300.0,1082000
2019-11-14,52300.0,52800.0,52300.0,52800.0,52800.0,5720349
2019-11-15,52900.0,53400.0,52600.0,53400.0,53400.0,0
2019-11-15,53300.0,53500.0,53200.0,53400.0,53400.0,1339574
2019-11-15,53400.0,53600.0,53400.0,53600.0,53600.0,1719903
2019-11-15,53600.0,53600.0,53400.0,53400.0,53400.0,504940
2019-11-15,53400.0,53600.0,53400.0,53400.0,53400.0,1013535
2019-11-15,53400.0,53500.0,53300.0,53400.0,53400.0,853249
2019-11-18,53600.0,53800.0,53400.0,53500.0,53500.0,0
2019-11-18,53600.0,53700.0,53500.0,53600.0,53600.0,733392
2019-11-18,53600.0,53600.0,53300.0,53400.0,53400.0,912167
2019-11-18,53300.0,53500.0,53300.0,53400.0,53400.0,626664
2019-11-18,53500.0,53500.0,53200.0,53300.0,53300.0,639429
2019-11-18,53200.0,53500.0,53200.0,53400.0,53400.0,1003776
2019-11-19,53200.0,53300.0,52700.0,52900.0,52900.0,0
2019-11-19,52800.0,53200.0,52700.0,53100.0,53100.0,1375381
2019-11-19,53100.0,53300.0,53000.0,53200.0,53200.0,0
2019-11-19,53200.0,53300.0,53000.0,53200.0,53200.0,4664883
2019-11-19,53100.0,53200.0,53000.0,53200.0,53200.0,622505
2019-11-19,53200.0,53200.0,52900.0,53200.0,53200.0,1070858
